symbol,date,open,high,low,close,candle_name,strength_percentage
MKCL,2024-12-29,1480.0,1506.0,1480.0,1485.0,INVERTEDHAMMER,68.0
MKHC,2024-12-29,497.9,519.1,497.9,508.8,,
MKHL,2024-12-29,630.0,632.1,618.0,625.0,HANGINGMAN,70.0
MKJC,2024-12-29,508.0,529.3,507.1,529.3,CLOSINGMARUBOZU,75.0
MKLB,2024-07-07,1205.0,1205.0,1142.0,1169.0,BELTHOLD,66.0
MLBBL,2024-12-29,1535.0,1610.0,1535.0,1584.9,BELTHOLD,66.0
MLBL,2024-12-29,396.0,399.0,387.0,389.0,SHORTLINE,56.0
MLBLPO,2024-09-16,155.0,155.0,155.0,155.0,DOJI,58.0
MLBS,2024-12-29,2035.0,2172.0,2035.0,2160.0,BELTHOLD,66.0
MLBSL,2024-12-29,2221.0,2461.6,2221.0,2461.6,CLOSINGMARUBOZU,75.0
MMF1,2024-12-29,8.6,8.9,8.6,8.73,INVERTEDHAMMER,68.0
MMFDB,2024-03-12,561.0,590.4,561.0,580.0,,
MMFDBP,2024-03-12,278.0,278.0,278.0,278.0,DOJI,58.0
MMKJL,2024-12-29,683.0,695.0,672.2,679.0,RICKSHAWMAN,62.0
MNBBL,2024-12-29,371.0,378.4,371.0,375.0,TRISTAR,62.0
MNBBLP,2024-12-29,221.0,221.0,221.0,221.0,DOJI,58.0
MPFL,2024-12-29,685.0,695.0,649.8,651.0,,
MPFLPO,2024-03-14,202.0,202.0,202.0,202.0,DOJI,58.0
MSHL,2024-12-29,970.0,970.0,937.0,947.9,,
MSLB,2024-12-29,1490.0,1590.0,1490.0,1564.0,BELTHOLD,66.0
MUTUAL,2024-12-29,20.31,20.36,20.17,20.34,TAKURI,68.0
NABBC,2024-12-29,1133.4,1155.5,1040.9,1040.9,CLOSINGMARUBOZU,75.0
NABIL,2024-12-29,504.1,508.9,499.0,502.7,DOJISTAR,80.0
NABILD87,2024-12-29,1070.0,1070.0,1070.0,1070.0,DOJI,58.0
NABILP,2024-10-27,301.1,301.1,301.1,301.1,TRISTAR,62.0
NADDF,2024-12-17,10.41,10.41,10.41,10.41,DOJI,58.0
NADEP,2024-12-29,942.0,959.0,926.1,947.0,SPINNINGTOP,57.0
NBBD2085,2024-11-20,1195.0,1195.0,1195.0,1199.9,SHORTLINE,56.0
NBF2,2024-12-29,9.69,9.69,9.5,9.68,HAMMER,68.0
NBF3,2024-12-29,9.5,9.65,9.0,9.4,HANGINGMAN,70.0
NBL,2024-12-29,273.0,275.8,269.3,269.9,,
NBLD82,2024-11-24,1096.6,1174.0,1096.6,1172.0,LONGLINE,70.0
NBLD85,2024-12-29,1049.0,1050.0,1049.0,1050.0,DOJI,58.0
NBLD87,2024-12-29,1064.0,1064.0,1064.0,1064.0,DOJI,58.0
NCCD86,2024-12-29,1156.0,1156.0,1156.0,1156.0,DOJI,58.0
NEPSE,2024-12-29,2631.98,2641.17,2601.84,2609.58,,
NESDO,2024-12-29,2259.0,2344.0,2210.0,2276.1,,
NFCF,2024-12-12,11.43,11.43,11.43,11.43,DOJI,58.0
NFS,2024-12-29,1024.1,1040.0,998.0,1002.0,,
NFSPO,2024-08-25,163.0,163.0,163.0,163.0,DOJISTAR,80.0
NGPL,2024-12-29,262.0,263.0,256.1,256.1,SHORTLINE,56.0
NHDL,2024-12-29,720.0,720.0,702.4,710.0,SHORTLINE,56.0
NHPC,2024-12-29,218.0,219.0,213.8,214.0,SHORTLINE,56.0
NIBD2082,2024-12-24,1144.0,1150.9,1144.0,1151.0,SHORTLINE,56.0
NIBD84,2024-12-29,1033.0,1043.2,1033.0,1043.1,CLOSINGMARUBOZU,75.0
NIBLGF,2024-12-29,8.7,8.87,8.66,8.87,DOJI,58.0
NIBLPF,2024-01-08,9.47,9.48,9.32,9.32,DOJI,58.0
NIBLSF,2024-11-25,11.21,11.21,11.21,11.21,DOJI,58.0
NIBSF2,2024-12-29,8.45,8.6,8.44,8.5,INVERTEDHAMMER,68.0
NICA,2024-12-29,400.0,404.7,391.0,391.0,CLOSINGMARUBOZU,75.0
NICAD 85/86,2024-05-08,1014.0,1015.2,1014.0,1015.1,SHORTLINE,56.0
NICAD8182,2024-12-29,1056.3,1056.3,1056.3,1056.3,DOJI,58.0
NICAD8283,2024-12-24,1062.1,1083.3,1062.1,1083.3,CLOSINGMARUBOZU,75.0
NICAP,2024-06-18,331.3,331.3,331.3,331.3,DOJI,58.0
NICBF,2024-12-29,9.0,9.22,9.0,9.22,DOJI,58.0
NICD83/84,2024-12-29,1135.0,1135.0,1135.0,1135.0,TRISTAR,62.0
NICD88,2024-12-29,1062.0,1062.8,1062.0,1062.0,INVERTEDHAMMER,68.0
NICFC,2024-12-29,8.99,9.18,8.99,9.11,DOJI,58.0
NICGF,2024-12-29,10.33,10.33,10.33,10.33,TRISTAR,62.0
NICGF2,2024-12-29,8.62,8.85,8.62,8.85,TRISTAR,62.0
NICL,2024-12-29,973.7,973.7,955.0,959.0,BELTHOLD,66.0
NICLBSL,2024-12-29,663.0,683.0,660.0,660.0,INVERTEDHAMMER,68.0
NICSF,2024-12-29,9.2,9.38,9.2,9.34,DOJI,58.0
NIFRA,2024-12-29,251.0,252.0,246.5,246.8,CLOSINGMARUBOZU,75.0
NIL,2024-12-29,937.0,937.0,924.1,926.0,BELTHOLD,66.0
NILPO,2024-06-23,436.0,436.0,436.0,436.0,DOJISTAR,80.0
