symbol,date,open,high,low,close,Candles_Present,Max_Candle_Strength
NICD83/84,2024-12-29,1135.0,1135.0,1135.0,1135.0,"DOJI,SHORTLINE,TRISTAR",0.33
NICD88,2024-12-29,1062.0,1062.8,1062.0,1062.0,"DOJI,GRAVESTONEDOJI,INVERTEDHAMMER,LONGLEGGEDDOJI,TRISTAR",0.33
NICFC,2024-12-29,8.99,9.18,8.99,9.11,"DOJI,SHORTLINE",0.5
NICGF,2024-12-29,10.33,10.33,10.33,10.33,"DOJI,SHORTLINE,TRISTAR",0.33
NICGF2,2024-12-29,8.62,8.85,8.62,8.85,"DOJI,SHORTLINE,TRISTAR",1.0
NICLBSL,2024-12-29,663.0,683.0,660.0,660.0,INVERTEDHAMMER,1.0
NICSF,2024-12-29,9.2,9.38,9.2,9.34,"DOJI,SHORTLINE",0.5
NILPO,2024-06-23,436.0,436.0,436.0,436.0,"DOJI,DOJISTAR,SHORTLINE",0.33
NLBBL,2024-03-12,565.0,595.0,555.0,595.0,CLOSINGMARUBOZU,1.0
NLBBLP,2024-02-08,401.0,401.0,401.0,401.0,"DOJI,SHORTLINE",0.5
NLICLP,2024-11-28,293.5,293.5,293.5,293.5,"DOJI,SHORTLINE",0.5
NLICP,2024-10-07,450.0,450.0,450.0,450.0,"DOJI,SHORTLINE",0.5
NLO,2024-12-22,246.9,246.9,246.9,246.9,"DOJI,SHORTLINE,TRISTAR",1.0
NMB50,2024-12-29,10.15,10.21,10.15,10.21,"DOJI,SHORTLINE",0.5
NMBD2085,2024-11-28,1090.8,1090.8,1090.8,1090.8,"DOJI,SHORTLINE",0.5
NMBPO,2024-12-18,140.0,140.0,140.0,140.0,"DOJI,SHORTLINE",0.5
NMBSBF,2024-12-29,10.47,10.47,10.47,10.47,"DOJI,SHORTLINE",0.5
NMFBSP,2024-11-26,755.0,755.0,755.0,755.0,"DOJI,SHORTLINE",0.5
NMLBBL,2024-12-29,675.0,689.0,675.0,676.0,"DOJI,GRAVESTONEDOJI,INVERTEDHAMMER,LONGLEGGEDDOJI",0.25
NRIC,2024-12-29,730.0,740.0,725.0,729.0,"DOJI,HIGHWAVE,LONGLEGGEDDOJI,RICKSHAWMAN,SPINNINGTOP",1.0
NRN,2024-12-29,930.0,1030.0,930.0,999.0,BELTHOLD,1.0
NTC,2024-12-29,951.0,962.0,951.0,960.3,SHORTLINE,1.0
NUBL,2024-12-29,680.0,700.0,669.0,691.0,SHORTLINE,1.0
NWCL,2024-12-29,957.0,980.0,955.0,957.0,"DOJI,GRAVESTONEDOJI,HIGHWAVE,LONGLEGGEDDOJI,SHOOTINGSTAR,SPINNINGTOP",0.25
