symbol,date,open,high,low,close,Candles_Present,Signal,Bullish_Count,Bearish_Count,Signal_Strength
EDBL,2024-12-29,617.1,617.1,561.0,563.0,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Bullish,4,0,4
FINANCE,2024-12-29,3052.63,3052.63,2932.35,2935.78,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Bullish,4,0,4
FLOAT,2024-12-29,178.32,178.84,176.3,176.7,"['CDLDOJI', 'CDLDOJISTAR', 'CDLSHORTLINE']",Bearish,0,1,-1
FMDBL,2024-12-29,748.2,765.0,748.0,760.0,['CDLSHORTLINE'],Bearish,0,1,-1
FMDBLP,2024-07-08,370.0,370.0,370.0,370.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
GBBD85,2024-12-29,1051.1,1051.2,1050.0,1050.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
GBBL,2024-12-29,402.0,404.9,395.1,396.5,['CDLSHORTLINE'],Bearish,0,1,-1
GBBLPO,2024-11-26,205.0,205.0,205.0,205.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
GBD80/81,2024-04-09,1040.0,1040.0,1040.0,1040.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
GBILD86/87,2024-12-29,1059.0,1059.0,1045.0,1045.0,['CDLSHORTLINE'],Bearish,0,1,-1
GBIME,2024-12-29,233.1,237.5,229.0,229.5,['CDLINVERTEDHAMMER'],Bullish,1,0,1
GBIMEP,2024-12-12,100.0,100.0,100.0,100.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
GBLBS,2024-12-29,760.0,795.0,760.0,766.1,['CDLBELTHOLD'],Bullish,1,0,1
GCIL,2024-12-29,501.0,505.0,492.0,492.1,['CDLCLOSINGMARUBOZU'],Bullish,1,0,1
GHL,2024-12-29,203.2,207.2,203.2,204.0,"['CDLDOJI', 'CDLDOJISTAR', 'CDLGRAVESTONEDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish,1,1,0
GIBF1,2024-12-29,9.88,9.91,9.88,9.91,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
GLH,2024-12-29,240.1,243.3,235.2,235.2,['CDLSHORTLINE'],Bearish,0,1,-1
GMFIL,2024-12-29,565.1,567.0,541.3,546.0,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Bullish,4,0,4
GRDBL,2024-12-29,945.0,980.0,875.0,880.0,['CDLCLOSINGMARUBOZU'],Bullish,1,0,1
GRDBLP,2024-07-08,277.0,277.0,277.0,277.0,"['CDLDOJI', 'CDLDOJISTAR', 'CDLSHORTLINE']",Bearish,0,1,-1
GUFL,2024-12-29,670.4,670.4,653.8,657.0,['CDLSHORTLINE'],Bearish,0,1,-1
GUFLPO,2024-12-19,385.0,385.0,385.0,385.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
GVL,2024-12-29,510.0,520.0,497.9,500.0,['CDLSHORTLINE'],Bearish,0,1,-1
GWFD83,2024-12-29,1329.0,1330.0,1325.0,1325.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
H8020,2024-12-29,10.0,10.03,10.0,10.01,"['CDLDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish,1,1,0
HBL,2024-12-29,242.0,245.0,237.0,239.1,"['CDLDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish,1,1,0
HBLD83,2024-11-27,1075.5,1075.5,1075.5,1075.5,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
HBLPO,2024-08-12,125.0,125.0,125.0,125.0,"['CDLDOJI', 'CDLSHORTLINE', 'CDLTRISTAR']",Bearish,0,1,-1
HDHPC,2024-12-29,199.0,200.0,196.0,196.4,['CDLSHORTLINE'],Bearish,0,1,-1
HEI,2024-12-29,615.0,620.0,610.0,619.5,['CDLCLOSINGMARUBOZU'],Bullish,1,0,1
HEIP,2024-12-29,466.5,466.5,440.0,457.0,['CDLBELTHOLD'],Bullish,1,0,1
HHL,2024-12-29,549.4,549.4,500.8,507.1,['CDLBELTHOLD'],Bullish,1,0,1
HIDCL,2024-12-29,238.0,240.0,233.3,234.9,['CDLSHORTLINE'],Bearish,0,1,-1
HIDCLP,2024-12-29,170.8,170.8,165.5,169.5,"['CDLDOJI', 'CDLDRAGONFLYDOJI', 'CDLHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE', 'CDLTAKURI']",Bullish,1,1,0
HLBSL,2024-12-29,948.0,1003.0,948.0,960.0,['CDLBELTHOLD'],Bullish,1,0,1
HLI,2024-12-29,447.0,451.9,442.3,446.0,"['CDLDOJI', 'CDLHIGHWAVE', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bearish,0,1,-1
HPPL,2024-12-29,396.0,403.0,388.0,388.1,['CDLSHORTLINE'],Bearish,0,1,-1
HRL,2024-12-29,801.0,805.0,793.0,796.0,['CDLSHORTLINE'],Bearish,0,1,-1
HURJA,2024-12-29,226.5,230.9,224.0,224.4,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish,1,1,0
HYDROPOWER,2024-12-29,3490.88,3493.21,3420.18,3434.32,['CDLBELTHOLD'],Bullish,1,0,1
ICFC,2024-12-29,651.7,670.9,651.7,652.1,"['CDLDOJI', 'CDLDOJISTAR', 'CDLGRAVESTONEDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI']",Bullish,1,0,1
ICFCD83,2024-12-29,1325.0,1325.0,1325.0,1325.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
ICFCPO,2024-12-26,369.0,369.0,369.0,369.0,"['CDLDOJI', 'CDLSHORTLINE', 'CDLTRISTAR']",Bearish,0,1,-1
IGI,2024-12-29,572.0,582.0,570.0,571.1,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLLONGLEGGEDDOJI', 'CDLSHOOTINGSTAR', 'CDLSPINNINGTOP', 'CDLTRISTAR']",Bearish,0,1,-1
IGIPO,2024-12-22,310.0,310.0,310.0,310.0,"['CDLDOJI', 'CDLSHORTLINE', 'CDLTRISTAR']",Bearish,0,1,-1
ILI,2024-12-29,470.0,472.0,465.0,470.5,"['CDLDOJI', 'CDLDRAGONFLYDOJI', 'CDLHAMMER', 'CDLHIGHWAVE', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP', 'CDLTAKURI']",Bullish,1,1,0
INVESTMENT,2024-12-29,99.0,99.63,98.38,98.75,"['CDLDOJI', 'CDLHAMMER', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bullish,2,1,1
JBBL,2024-12-29,361.1,366.9,356.0,359.9,"['CDLDOJI', 'CDLDOJISTAR', 'CDLHIGHWAVE', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bearish,0,1,-1
JBBLPO,2024-12-03,204.0,204.0,204.0,204.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
JBLB,2024-12-29,1525.0,1575.0,1525.0,1571.0,"['CDLBELTHOLD', 'CDLLONGLINE']",Bullish,2,0,2
JFL,2024-12-29,907.5,907.5,833.4,833.4,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Bullish,4,0,4
JFLPO,2024-09-10,349.0,349.0,349.0,349.0,"['CDLDOJI', 'CDLDOJISTAR', 'CDLSHORTLINE']",Bearish,0,1,-1
JOSHI,2024-12-29,451.1,451.1,414.3,420.0,"['CDLBELTHOLD', 'CDLLONGLINE']",Bullish,2,0,2
JSLBB,2024-12-29,1610.1,1730.0,1609.0,1661.9,['CDLBELTHOLD'],Bullish,1,0,1
JSLBBP,2024-04-02,546.0,546.0,546.0,546.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
KBL,2024-12-29,224.0,225.4,218.7,219.3,['CDLSHORTLINE'],Bearish,0,1,-1
KBLD86,2024-12-24,1136.1,1136.1,1136.1,1136.1,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
KBLD90,2024-12-24,1141.0,1141.0,1141.0,1141.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
KBLPO,2024-12-19,100.0,100.0,100.0,100.0,"['CDLDOJI', 'CDLSHORTLINE', 'CDLTRISTAR']",Bearish,0,1,-1
KBSH,2024-12-29,2600.0,2600.0,2450.0,2537.0,['CDLBELTHOLD'],Bullish,1,0,1
KDBY,2024-12-29,9.05,9.55,9.05,9.55,"['CDLDOJI', 'CDLDOJISTAR', 'CDLSHORTLINE']",Bearish,0,1,-1
KEF,2024-12-29,8.76,8.98,8.76,8.85,"['CDLDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish,1,1,0
KKHC,2024-12-29,382.0,383.0,366.0,367.9,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Bullish,4,0,4
KLBSL,2024-07-10,1051.5,1113.1,1051.5,1070.0,['CDLBELTHOLD'],Bullish,1,0,1
KMCDB,2024-12-29,1080.2,1130.0,1080.2,1107.0,['CDLBELTHOLD'],Bullish,1,0,1
KPCL,2024-12-29,524.9,530.0,521.0,524.9,"['CDLDOJI', 'CDLHIGHWAVE', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bearish,0,1,-1
KSBBL,2024-12-29,433.0,442.0,430.0,432.9,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLHIGHWAVE', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bullish,1,1,0
KSBBLP,2024-12-22,186.0,186.0,186.0,186.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
KSLY,2024-11-26,11.73,11.73,11.73,11.73,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
KSY,2024-12-29,8.84,9.19,8.84,9.0,"['CDLDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish,1,1,0
LBBL,2024-12-29,485.0,485.0,473.7,473.7,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Bullish,4,0,4
LBBLD89,2024-12-12,1255.0,1255.0,1255.0,1255.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
LBBLPO,2024-10-27,261.0,261.0,261.0,261.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
LBLD86,2024-12-23,1135.0,1135.0,1135.0,1135.0,"['CDLDOJI', 'CDLSHORTLINE', 'CDLTRISTAR']",Bearish,0,1,-1
LEC,2024-12-29,206.0,206.0,199.0,199.1,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Bullish,4,0,4
LEMF,2024-06-09,9.6,9.76,9.47,9.47,"['CDLDOJI', 'CDLDOJISTAR', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish,1,1,0
LICN,2024-12-29,1136.0,1160.0,1130.0,1145.0,"['CDLABANDONEDBABY', 'CDLMORNINGDOJISTAR', 'CDLMORNINGSTAR']",Bullish,2,0,2
