id,date,symbol,open,high,low,close,volume,ltp,previous_closing,RSI_6,RSI_14,SMA_20,EMA_20
1875815,2024-04-15,NABIL,438.0,439.0,434.1,435.0,33297.0,435.0,438.0,30.78825714107238,37.69009134293672,445.28499999999997,442.53693287220074
1875816,2024-04-16,NABIL,435.0,435.0,431.0,433.0,33034.0,433.0,435.0,25.777887258807407,35.986892199551455,443.34,441.6286535510388
1875817,2024-04-18,NABIL,434.0,434.0,429.0,429.9,39409.0,429.9,433.0,19.78820242081353,33.46273685214199,441.63499999999993,440.5116389271303
1875818,2024-04-21,NABIL,437.0,437.0,422.0,428.0,68601.0,428.0,429.9,16.900063147851768,31.982078006425823,439.98499999999996,439.32005426740363
1875819,2024-04-22,NABIL,428.0,435.0,428.0,429.0,30359.0,429.0,428.0,23.913738781493034,33.646219694954205,438.43499999999995,438.33719195622234
1875820,2024-04-24,NABIL,430.0,435.0,428.5,429.0,35268.0,429.0,429.0,23.913738781493034,33.646219694954205,437.03499999999997,437.4479355794393
1875821,2024-04-25,NABIL,429.0,433.0,427.0,427.3,52043.0,427.3,429.0,19.81890675775041,32.097895883959964,435.8499999999999,436.4814655242546
1875822,2024-04-28,NABIL,435.8,435.8,427.0,427.0,43925.0,427.0,427.3,19.125396888549737,31.819618760788238,434.94999999999993,435.5784688076589
1875823,2024-04-29,NABIL,435.5,435.5,424.5,429.0,51708.0,429.0,427.0,36.81369018872482,35.81473746052614,434.30999999999995,434.95194796883425
1875824,2024-04-30,NABIL,437.5,437.5,426.0,431.5,44100.0,431.5,429.0,52.422414932995906,40.50748596582805,433.85999999999996,434.6231910194215
1875825,2024-05-02,NABIL,440.1,440.1,427.5,429.5,47931.0,429.5,431.5,42.37367149894511,38.107144460293725,433.2099999999999,434.13526806519087
1875826,2024-05-05,NABIL,430.0,432.0,425.0,426.0,41759.0,426.0,429.5,30.211995276074717,34.27899760086966,432.50999999999993,433.3604806304108
1875827,2024-05-06,NABIL,427.0,427.0,423.0,424.0,26747.0,424.0,426.0,25.243832381793734,32.28324804365669,431.75999999999993,432.4690062846574
1875828,2024-05-07,NABIL,422.3,430.7,421.9,422.0,38545.0,422.0,424.0,21.083401238101928,30.378535488314146,431.05999999999995,431.47195806707094
1875829,2024-05-08,NABIL,427.0,427.0,422.0,424.5,18323.0,424.5,422.0,36.72573126815756,35.501228828870026,430.5849999999999,430.8079620606832
1875830,2024-05-09,NABIL,428.0,428.0,419.0,422.7,40811.0,422.7,424.5,31.355842369698273,33.58512368916579,430.02,430.035775197761
1875831,2024-05-12,NABIL,421.1,425.0,420.0,422.0,44038.0,422.0,422.7,29.35296825316462,32.84274479920502,429.21999999999997,429.2704632741647
1875832,2024-05-13,NABIL,426.0,431.5,422.4,430.8,68228.0,430.8,422.0,64.02185220764022,48.31113100701832,428.80999999999995,429.4161334385299
1875833,2024-05-14,NABIL,435.5,435.5,430.0,433.5,35940.0,433.5,430.8,69.52758525686139,51.96674133376629,428.5849999999999,429.8050731110509
1875834,2024-05-15,NABIL,440.0,441.0,434.0,434.0,36943.0,434.0,433.5,70.52976904820004,52.634797820116695,428.38499999999993,430.2045899576175
1875835,2024-05-16,NABIL,442.6,442.6,428.0,431.0,40117.0,431.0,434.0,57.02622856690801,48.294635608353346,428.18499999999995,430.28034329498723
1875836,2024-05-19,NABIL,439.6,439.6,432.2,437.0,47893.0,437.0,431.0,70.55584588611498,56.0926633465574,428.38499999999993,430.92031060022657
1875837,2024-05-20,NABIL,443.0,463.4,441.0,458.0,97887.0,458.0,437.0,87.32114604104603,72.00613101166088,429.78999999999996,433.49932863830026
1875838,2024-05-21,NABIL,460.0,481.0,457.0,480.9,144313.0,480.9,458.0,92.73456261946772,80.3638119186195,432.43499999999995,438.0136782917955
1875839,2024-05-22,NABIL,480.9,515.0,480.9,514.0,307056.0,514.0,480.9,95.82582496151164,86.59398151267035,436.68499999999995,445.250470835434
1875840,2024-05-26,NABIL,515.0,532.0,507.0,517.0,257882.0,517.0,514.0,96.0104426539296,86.99667539693952,441.0849999999999,452.0837593272974
1875841,2024-05-27,NABIL,523.9,523.9,500.2,507.9,101039.0,507.9,517.0,82.69690947812444,79.22291975088982,445.11499999999995,457.3995917723167
1875842,2024-05-29,NABIL,505.0,522.0,488.5,489.0,124575.0,489.0,507.9,61.45717424908028,66.02661447910413,448.215,460.4091544606675
