buy_signal,sell_signal,score,rank
0,0,0,141.0
0,0,0,147.5
0,0,0,156.5
1,0,1,41.0
1,0,1,44.5
1,0,1,42.0
0,0,0,178.0
0,0,0,170.0
0,0,0,173.5
0,0,0,167.5
0,0,0,171.5
1,0,1,20.0
1,0,1,37.0
1,0,1,45.0
1,0,1,20.5
1,0,1,11.0
0,0,0,153.0
1,0,1,10.0
1,0,1,20.0
1,0,1,16.5
1,0,1,27.5
1,0,1,34.0
1,0,1,20.0
1,0,1,18.0
1,0,1,14.5
0,0,0,138.5
0,0,0,137.0
0,0,0,131.0
0,0,0,129.5
0,0,0,104.5
0,0,0,114.5
0,0,0,124.0
0,0,0,135.5
0,0,0,135.5
0,0,0,124.5
0,0,0,124.5
0,0,0,131.5
0,0,0,119.5
1,0,1,6.5
1,0,1,7.5
0,0,0,127.0
0,0,0,132.0
0,0,0,118.5
0,1,-1,245.5
0,0,0,123.0
0,0,0,123.5
0,0,0,124.0
0,0,0,132.5
0,0,0,132.5
0,0,0,135.0
0,0,0,134.0
0,0,0,135.5
0,0,0,144.5
0,0,0,144.0
0,0,0,148.0
0,0,0,152.0
0,0,0,153.0
0,0,0,150.0
0,1,-1,309.0
0,0,0,146.5
0,0,0,147.0
0,0,0,145.5
0,0,0,146.0
0,0,0,140.5
0,0,0,146.0
0,0,0,149.0
1,0,1,2.5
0,0,0,134.5
0,0,0,114.0
0,0,0,106.5
0,0,0,102.0
0,0,0,112.5
0,0,0,118.0
0,0,0,123.0
0,0,0,126.5
0,0,0,121.0
0,0,0,114.0
0,0,0,103.0
0,0,0,92.0
1,0,1,2.5
0,1,-1,255.0
0,1,-1,263.0
0,0,0,119.5
0,1,-1,235.5
0,1,-1,231.5
0,1,-1,261.5
0,0,0,117.5
0,0,0,119.0
0,0,0,141.0
0,0,0,146.5
0,0,0,144.0
0,1,-1,276.0
0,0,0,142.5
0,0,0,153.5
0,0,0,151.0
0,0,0,153.0
0,0,0,159.0
0,0,0,149.5
0,0,0,153.0
0,0,0,151.0
0,0,0,156.0
0,0,0,151.0
0,0,0,119.5
0,0,0,164.5
0,0,0,167.5
0,0,0,162.0
0,0,0,196.0
0,0,0,188.5
0,0,0,175.5
0,0,0,162.0
0,0,0,165.5
0,0,0,205.5
1,0,1,88.5
1,0,1,66.5
1,0,1,68.5
1,0,1,63.5
1,0,1,46.0
1,0,1,38.5
0,0,0,157.5
0,0,0,168.5
1,0,1,28.0
0,0,0,183.5
0,0,0,157.0
0,0,0,145.5
1,0,1,9.5
1,0,1,13.0
1,0,1,11.5
0,0,0,163.5
0,0,0,171.5
0,1,-1,313.5
0,0,0,162.5
0,0,0,156.5
0,0,0,138.5
0,0,0,120.0
0,1,-1,265.0
0,0,0,128.5
0,0,0,134.5
0,1,-1,277.5
0,1,-1,275.0
0,0,0,137.5
0,0,0,140.0
1,0,1,16.5
1,0,1,7.5
0,0,0,130.0
0,0,0,120.5
0,0,0,126.0
0,0,0,145.0
0,0,0,140.5
0,0,0,134.0
0,0,0,143.0
0,0,0,139.5
0,0,0,137.5
0,0,0,141.0
0,0,0,154.5
0,0,0,161.5
0,0,0,158.0
0,0,0,157.5
0,0,0,157.5
0,0,0,157.0
0,0,0,157.0
0,0,0,159.0
0,0,0,159.5
0,0,0,156.5
0,0,0,158.0
0,0,0,160.5
0,0,0,158.0
0,0,0,156.5
0,0,0,154.5
0,0,0,159.5
0,0,0,158.0
0,0,0,160.0
0,0,0,160.5
0,0,0,158.0
0,0,0,159.0
0,0,0,160.0
0,0,0,158.0
0,0,0,162.0
0,0,0,159.0
0,0,0,158.0
0,0,0,160.5
0,0,0,162.0
0,0,0,161.0
0,0,0,162.5
0,0,0,158.0
0,0,0,161.5
0,0,0,158.5
0,0,0,156.5
0,0,0,159.0
0,0,0,168.0
0,0,0,155.0
0,0,0,157.5
0,0,0,159.0
0,0,0,154.0
0,0,0,144.5
0,0,0,146.5
0,0,0,151.0
0,0,0,164.0
0,0,0,161.5
0,1,-1,197.5
0,0,0,182.5
0,0,0,172.5
1,0,1,44.0
0,0,0,158.0
0,0,0,135.5
0,0,0,152.0
0,0,0,171.0
1,0,1,39.5
0,0,0,174.0
1,0,1,36.5
1,0,1,34.0
1,0,1,42.5
0,0,0,189.0
0,0,0,172.5
0,0,0,164.5
0,0,0,158.0
0,0,0,158.0
0,0,0,157.0
0,0,0,145.5
0,0,0,156.0
0,0,0,152.5
0,0,0,142.5
0,0,0,153.0
0,0,0,170.5
0,0,0,180.0
0,0,0,180.0
0,0,0,173.5
0,0,0,154.5
0,0,0,147.0
0,0,0,153.0
0,0,0,144.5
0,0,0,144.5
0,0,0,141.0
0,0,0,147.5
1,0,1,27.0
1,0,1,41.0
1,0,1,44.5
1,0,1,42.0
1,0,1,32.0
0,0,0,170.0
0,0,0,173.5
0,0,0,167.5
1,0,1,28.5
0,0,0,158.5
