symbol,date,open,high,low,close,Candles_Present,Signal
MEHL,2024-12-29,463.6,475.0,458.2,460.0,['CDLSHOOTINGSTAR'],Bearish
MEL,2024-12-29,310.7,316.0,307.2,315.8,['CDLSHORTLINE'],Neutral
MEN,2024-12-29,625.0,625.0,605.0,608.0,"['CDLBELTHOLD', 'CDLLONGLINE']",Neutral
MERO,2024-12-29,718.0,764.6,718.0,733.0,['CDLBELTHOLD'],Neutral
MFIL,2024-12-29,670.0,670.0,650.0,650.0,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
MFILPO,2024-06-23,267.6,267.6,267.6,267.6,"['CDLDOJI', 'CDLDOJISTAR', 'CDLSHORTLINE']",Neutral
MFLD85,2024-12-29,1100.0,1102.0,1085.0,1085.0,"['CDLCLOSINGMARUBOZU', 'CDLLONGLINE']",Neutral
MHCL,2024-12-29,532.0,539.0,516.2,527.3,['CDLSPINNINGTOP'],Neutral
MHL,2024-12-29,872.0,875.0,832.1,850.0,[],Neutral
MHNL,2024-12-29,260.0,267.0,258.8,260.0,"['CDLDOJI', 'CDLDOJISTAR', 'CDLGRAVESTONEDOJI', 'CDLHIGHWAVE', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSPINNINGTOP']",Bullish
MICROFINANCE,2024-12-29,4921.9,5033.01,4909.42,4977.97,"['CDLABANDONEDBABY', 'CDLMORNINGDOJISTAR', 'CDLMORNINGSTAR']",Bullish
MKCL,2024-12-29,1480.0,1506.0,1480.0,1485.0,['CDLINVERTEDHAMMER'],Bullish
MKHC,2024-12-29,497.9,519.1,497.9,508.8,[],Neutral
MKHL,2024-12-29,630.0,632.1,618.0,625.0,"['CDLHANGINGMAN', 'CDLSHORTLINE']",Neutral
MKJC,2024-12-29,508.0,529.3,507.1,529.3,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
MKLB,2024-07-07,1205.0,1205.0,1142.0,1169.0,['CDLBELTHOLD'],Neutral
MLBBL,2024-12-29,1535.0,1610.0,1535.0,1584.9,['CDLBELTHOLD'],Neutral
MLBL,2024-12-29,396.0,399.0,387.0,389.0,['CDLSHORTLINE'],Neutral
MLBLPO,2024-09-16,155.0,155.0,155.0,155.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
MLBS,2024-12-29,2035.0,2172.0,2035.0,2160.0,['CDLBELTHOLD'],Neutral
MLBSL,2024-12-29,2221.0,2461.6,2221.0,2461.6,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
MMF1,2024-12-29,8.6,8.9,8.6,8.73,"['CDLDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish
MMFDB,2024-03-12,561.0,590.4,561.0,580.0,[],Neutral
